0000	E8
1103	4D
1104	56
1105	28
1106	B7
1107	C1
1108	2E
1109	FE
110A	B6
110B	75
110C	98
110D	02
110E	80
110F	32
1110	FB
1111	8C
1112	DC
1113	59
1114	F4
1115	62
1116	98
1117	A6
1118	12
1119	2D
111A	44
111B	57
111C	82
111D	BE
111E	B5
111F	84
1120	9D
1121	00
1122	F7
1123	C1
1124	04
1125	35
1126	01
1127	6C
1128	1E
1129	3E
112A	71
112B	F4
112C	27
112D	4D
112E	C1
112F	E6
1130	78
1131	71
1132	99
1133	43
1134	40
1135	79
1136	66
1137	33
1138	1B
1139	02
113A	81
113B	29
113C	A6
113D	1A
113E	82
113F	B0
1140	17
1141	06
1142	3B
1143	47
1144	D7
1145	CE
1146	7B
1147	51
1148	ED
1149	FF
114A	F4
114B	DF
114C	56
114D	FF
114E	D3
114F	A6
1150	4D
1151	7A
1152	CE
1153	04
1154	51
1155	8E
1156	01
1157	E4
1158	C8
1159	64
115A	C0
115B	62
115C	C5
115D	23
115E	F6
115F	13
1160	89
1161	5C
1162	00
1163	A8
1164	D1
1165	1E
1166	BE
1167	A7
1168	81
1169	09
116A	70
116B	DA
116C	A7
116D	6D
116E	EE
116F	99
1170	F6
1171	1D
1172	CF
1173	AE
1174	95
1175	82
1176	9D
1177	6B
1178	12
1179	DF
117A	0E
117B	DD
117C	80
117D	1B
117E	59
117F	10
1180	22
1181	0F
1182	FF
1183	27
1184	14
1185	24
1186	E2
1187	BD
1188	13
1189	37
118A	EA
118B	73
118C	46
118D	98
118E	6E
118F	AA
1190	1A
1191	40
1192	65
1193	7D
1194	07
1195	A4
1196	3D
1197	6F
1198	6B
1199	B7
119A	46
119B	1B
119C	C4
119D	10
119E	C6
119F	94
11A0	C8
11A1	6E
11A2	49
11A3	E9
11A4	54
11A5	8B
11A6	43
11A7	E3
11A8	51
11A9	B3
11AA	CC
11AB	8B
11AC	3E
11AD	BA
11AE	40
11AF	E1
11B0	D3
11B1	09
11B2	25
11B3	07
11B4	38
11B5	4A
11B6	F4
11B7	E4
11B8	13
11B9	5B
11BA	2B
11BB	A8
11BC	80
11BD	51
11BE	EC
11BF	74
11C0	C0
11C1	D7
11C2	2C
11C3	39
11C4	12
11C5	0C
11C6	C1
11C7	7F
11C8	01
11C9	3E
11CA	B1
11CB	43
11CC	0C
11CD	C2
11CE	3B
11CF	15
11D0	38
11D1	B8
11D2	10
11D3	86
11D4	DA
11D5	15
11D6	AC
11D7	79
11D8	94
11D9	7A
11DA	4E
11DB	3A
11DC	3E
11DD	58
11DE	4C
11DF	4C
11E0	F0
11E1	C1
11E2	72
11E3	2D
11E4	D9
11E5	5D
11E6	F4
11E7	98
11E8	3F
11E9	88
11EA	BD
11EB	83
11EC	14
11ED	AF
11EE	DC
11EF	37
11F0	F4
11F1	1C
11F2	4A
11F3	A6
11F4	15
11F5	F1
11F6	4B
11F7	E5
11F8	78
11F9	BA
11FA	F7
11FB	B3
11FC	83
11FD	5F
11FE	85
11FF	4C
1200	73
1201	64
1202	CA
1203	D5
1204	BA
1205	2A
1206	50
1207	7C
1208	73
1209	75
120A	8B
120B	A1
120C	6A
120D	66
120E	B4
120F	D6
1210	27
1211	EE
1212	FF
1213	FE
1214	A2
1215	09
1216	44
1217	F5
1218	E6
1219	A1
121A	98
121B	DA
121C	84
121D	45
121E	51
121F	AD
1220	70
1221	8C
1222	35
1223	27
1224	A9
1225	0D
1226	B7
1227	F1
1228	BA
1229	9D
122A	F2
122B	99
122C	9B
122D	B7
122E	61
122F	6A
1230	04
1231	5F
1232	FA
1233	3A
1234	01
1235	9F
1236	74
1237	AD
1238	A7
1239	54
123A	56
123B	B3
123C	30
123D	7D
123E	D4
123F	56
1240	50
1241	CB
1242	30
1243	64
1244	99
1245	B2
1246	63
1247	8F
1248	A1
1249	7B
124A	43
124B	5A
124C	7F
124D	53
124E	19
124F	AD
1250	12
1251	BE
1252	D6
1253	C3
1254	FA
1255	70
1256	75
1257	ED
1258	1A
1259	30
125A	7A
125B	53
125C	E0
125D	91
125E	FA
125F	4C
1260	DD
1261	52
1262	B6
1263	00
1264	5E
1265	00
1266	D5
1267	28
1268	F6
1269	55
126A	2C
126B	4E
126C	58
126D	D9
126E	0A
126F	CB
1270	5B
1271	85
1272	B3
1273	A2
1274	F9
1275	F5
1276	6E
1277	ED
1278	F9
1279	FD
127A	0A
127B	3D
127C	F2
127D	FE
127E	09
127F	5F
1280	04
1281	B5
1282	FD
1283	4D
1284	C8
1285	92
1286	94
1287	F0
1288	3C
1289	0B
128A	B6
128B	9B
128C	30
128D	C0
128E	4C
128F	F9
1290	C1
1291	47
1292	B5
1293	E7
1294	7C
1295	A1
1296	73
1297	3B
1298	F7
1299	02
129A	AA
129B	79
129C	43
129D	0A
129E	EC
129F	D5
12A0	E6
12A1	37
12A2	AE
12A3	E6
12A4	F0
12A5	C9
12A6	9D
12A7	46
12A8	E7
12A9	FD
12AA	6C
12AB	9E
12AC	15
12AD	28
12AE	0E
12AF	20
12B0	CF
12B1	09
12B2	EE
12B3	3A
12B4	9C
12B5	8F
12B6	72
12B7	7E
12B8	C5
12B9	19
12BA	3D
12BB	F3
12BC	16
12BD	FC
12BE	55
12BF	53
12C0	66
12C1	47
12C2	34
12C3	33
12C4	3F
12C5	12
12C6	D7
12C7	58
12C8	D1
12C9	F9
12CA	5A
12CB	A5
12CC	61
12CD	96
12CE	73
12CF	DA
12D0	CF
12D1	82
12D2	68
12D3	35
12D4	EF
12D5	D8
12D6	95
12D7	97
12D8	A9
12D9	8C
12DA	BB
12DB	B9
12DC	BD
12DD	50
12DE	0F
12DF	8A
12E0	09
12E1	AF
12E2	0D
12E3	DD
12E4	51
12E5	82
12E6	EB
12E7	D6
12E8	41
12E9	95
12EA	54
12EB	9E
12EC	A0
12ED	1C
12EE	1A
12EF	D3
12F0	FF
12F1	C5
12F2	ED
12F3	09
12F4	BF
12F5	5F
12F6	B9
12F7	19
12F8	D7
12F9	F0
12FA	50
12FB	0C
12FC	17
12FD	46
12FE	39
12FF	2E
1300	7F
1301	BC
1302	A1
1303	57
1304	25
1305	67
1306	1A
1307	BF
1308	C3
1309	51
130A	CF
130B	7D
130C	DC
130D	C2
130E	F6
130F	34
1310	A9
1311	73
1312	45
1313	D7
1314	0F
1315	E0
1316	5D
1317	A1
1318	0A
1319	59
131A	4B
131B	7E
131C	B9
131D	F7
131E	C1
131F	F9
1320	F8
1321	71
1322	01
1323	F5
1324	F5
1325	D0
1326	DA
1327	B6
1328	98
1329	31
132A	EA
132B	9D
132C	0A
132D	3F
132E	92
132F	60
1330	35
1331	93
1332	04
1333	96
1334	52
1335	70
1336	50
1337	70
1338	A5
1339	5F
133A	B5
133B	D3
133C	74
133D	1F
133E	E3
133F	7A
1340	C2
1341	98
1342	36
1343	FE
1344	18
1345	74
1346	7E
1347	74
1348	EB
1349	6E
134A	92
134B	86
134C	C4
134D	AB
134E	33
134F	C3
1350	9F
1351	34
1352	B0
1353	9E
1354	CB
1355	BB
1356	D7
1357	F2
1358	C1
1359	C4
135A	15
135B	AF
135C	D2
135D	36
135E	A6
135F	33
1360	48
1361	AB
1362	3B
1363	44
1364	94
1365	A1
1366	44
1367	41
1368	53
1369	D6
136A	48
136B	91
136C	35
136D	D2
136E	41
136F	21
1370	F8
1371	A6
1372	49
1373	7B
1374	B6
1375	AA
1376	1E
1377	00
1378	21
1379	A1
137A	8A
137B	71
137C	7D
137D	E5
137E	D9
137F	88
1380	32
1381	4B
1382	DE
1383	6B
1384	08
1385	A8
1386	37
1387	D9
1388	68
1389	25
138A	F3
138B	51
138C	E0
138D	4D
138E	2B
138F	52
1390	48
1391	B4
1392	45
1393	14
1394	67
1395	31
1396	7D
1397	47
1398	77
1399	62
139A	1B
139B	78
139C	61
139D	C8
139E	5A
139F	E4
13A0	EA
13A1	01
13A2	63
13A3	44
13A4	F9
13A5	95
13A6	E2
13A7	87
13A8	65
13A9	92
13AA	D5
13AB	06
13AC	6A
13AD	0B
13AE	8A
13AF	B3
13B0	A3
13B1	4F
13B2	EC
13B3	19
13B4	94
13B5	E9
13B6	37
13B7	5C
13B8	69
13B9	3F
13BA	1C
13BB	3C
13BC	9A
13BD	3B
13BE	EF
13BF	18
13C0	64
13C1	FC
13C2	E3
13C3	60
13C4	06
13C5	B5
13C6	6C
13C7	1D
13C8	75
13C9	96
13CA	53
13CB	CC
13CC	1B
13CD	0F
13CE	E0
13CF	FA
13D0	90
13D1	2F
13D2	83
13D3	14
13D4	17
13D5	9D
13D6	67
13D7	BD
13D8	16
13D9	C7
13DA	39
13DB	9D
13DC	F9
13DD	C6
13DE	32
13DF	08
13E0	B6
13E1	A2
13E2	A1
13E3	07
13E4	5B
13E5	A8
13E6	CF
13E7	F4
13E8	3C
13E9	ED
13EA	9E
13EB	B9
13EC	49
13ED	97
13EE	CF
13EF	6C
13F0	FD
13F1	8F
13F2	D3
13F3	DD
13F4	0C
13F5	1A
13F6	67
13F7	15
13F8	A9
13F9	90
13FA	9D
13FB	97
13FC	91
13FD	FC
13FE	53
13FF	B4
1400	A0
1401	26
1402	EF
1403	32
1404	0D
1405	D9
1406	DA
1407	41
1408	F9
1409	DA
140A	9A
140B	1D
140C	17
140D	A5
140E	54
140F	26
1410	C2
1411	C0
1412	16
1413	A3
1414	D1
1415	C3
1416	73
1417	F9
1418	A8
1419	12
141A	F1
141B	FE
141C	F5
141D	78
141E	3C
141F	03
1420	B5
1421	CD
1422	32
1423	19
1424	74
1425	23
1426	B5
1427	D6
1428	77
1429	05
142A	0D
142B	E8
142C	F2
142D	0B
142E	A1
142F	2E
1430	2D
1431	B7
1432	15
1433	F8
1434	41
1435	70
1436	93
1437	C7
1438	23
1439	3F
143A	B1
143B	14
143C	1F
143D	CE
143E	3E
143F	CB
1440	E1
1441	5A
1442	AA
1443	0A
1444	A7
1445	2A
1446	26
1447	B5
1448	7E
1449	90
144A	F4
144B	55
144C	B2
144D	8F
144E	26
144F	31
1450	03
1451	E0
1452	8D
1453	48
1454	C9
1455	7E
1456	30
1457	19
1458	D8
1459	2F
145A	CB
145B	A4
145C	45
145D	7C
145E	06
145F	D9
1460	D2
1461	6B
1462	B4
1463	03
1464	B9
1465	CD
1466	93
1467	AA
1468	E8
1469	BD
146A	0A
146B	AC
146C	34
146D	C4
146E	18
146F	5A
1470	6B
1471	69
1472	06
1473	58
1474	68
1475	00
1476	81
1477	2E
1478	67
1479	4E
147A	51
147B	18
147C	1E
147D	32
147E	E3
147F	14
1480	E1
1481	4D
1482	6D
1483	45
1484	AF
1485	9E
1486	DB
1487	FA
1488	1D
1489	2E
148A	D3
148B	88
148C	12
148D	2D
148E	E2
148F	C7
1490	07
1491	21
1492	80
1493	25
1494	AF
1495	D0
1496	28
1497	C2
1498	A2
1499	56
149A	54
149B	1A
149C	98
149D	B5
149E	CD
149F	74
14A0	CA
14A1	56
14A2	6E
14A3	EF
14A4	3A
14A5	34
14A6	09
14A7	0A
14A8	01
14A9	A7
14AA	8B
14AB	5A
14AC	9C
14AD	E9
14AE	CB
14AF	EA
14B0	19
14B1	8F
14B2	46
14B3	DF
14B4	5E
14B5	FC
14B6	B7
14B7	6B
14B8	39
14B9	28
14BA	D9
14BB	17
14BC	4D
14BD	64
14BE	6D
14BF	32
14C0	F1
14C1	A8
14C2	02
14C3	5A
14C4	F0
14C5	30
14C6	69
14C7	23
14C8	56
14C9	D3
14CA	3D
14CB	FD
14CC	8A
14CD	DF
14CE	E4
14CF	D7
14D0	E9
14D1	0F
14D2	E1
14D3	CC
14D4	44
14D5	DE
14D6	6E
14D7	68
14D8	F0
14D9	1C
14DA	6C
14DB	2E
14DC	B5
14DD	14
14DE	F7
14DF	E0
14E0	C0
14E1	51
14E2	1F
14E3	81
14E4	0B
14E5	27
14E6	68
14E7	BE
14E8	44
14E9	69
14EA	6C
14EB	B0
14EC	65
14ED	7F
14EE	86
14EF	1E
14F0	6F
14F1	F1
14F2	D5
14F3	95
14F4	7E
14F5	1A
14F6	58
14F7	67
14F8	2F
14F9	59
14FA	32
14FB	9C
14FC	28
14FD	FB
14FE	98
14FF	DA
1500	8C
1501	8E
1502	BB
1503	DD
1504	0B
1505	81
1506	C8
1507	1C
1508	28
1509	0F
150A	ED
150B	49
150C	BF
150D	FD
150E	F2
150F	27
1510	4E
1511	D6
1512	E7
1513	A7
1514	A3
1515	D6
1516	BF
1517	65
1518	04
1519	18
151A	9A
151B	22
151C	06
151D	B2
151E	32
151F	07
1520	7D
1521	9C
1522	4A
1523	F7
1524	4B
1525	62
1526	E4
1527	64
1528	C2
1529	90
152A	BB
152B	42
152C	50
152D	5F
152E	DB
152F	62
1530	D4
1531	23
1532	7E
1533	04
1534	86
1535	13
1536	58
1537	D7
1538	4C
1539	DE
153A	B6
153B	BC
153C	C6
153D	83
153E	FD
153F	28
1540	7C
1541	42
1542	23
1543	3C
1544	DB
1545	D2
1546	0C
1547	FA
1548	24
1549	A5
154A	D5
154B	63
154C	5F
154D	B1
154E	C6
154F	B9
1550	D3
1551	0C
1552	73
1553	A6
1554	09
1555	17
1556	72
1557	9E
1558	F8
1559	95
155A	85
155B	17
155C	90
155D	5C
155E	81
155F	AA
1560	6D
1561	BE
1562	EF
1563	B3
1564	FC
1565	DC
1566	95
1567	92
1568	C9
1569	D6
156A	3D
156B	FC
156C	0D
156D	F5
156E	B8
156F	F8
1570	DD
1571	39
1572	DB
1573	1C
1574	48
1575	EB
1576	24
1577	35
1578	2F
1579	0A
157A	00
157B	DB
157C	33
157D	F4
157E	CC
157F	99
1580	33
1581	74
1582	90
1583	17
1584	2C
1585	F8
1586	08
1587	B8
1588	4F
1589	3F
158A	90
158B	26
158C	00
158D	A7
158E	5B
158F	E8
1590	81
1591	FD
1592	1B
1593	EA
1594	03
1595	97
1596	24
1597	C4
1598	09
1599	BE
159A	66
159B	B9
159C	85
159D	19
159E	9A
159F	5C
15A0	2F
15A1	74
15A2	1B
15A3	B3
15A4	2A
15A5	5D
15A6	D8
15A7	C0
15A8	F4
15A9	D8
15AA	AF
15AB	75
15AC	D7
15AD	D3
15AE	AF
15AF	2C
15B0	76
15B1	2B
15B2	2C
15B3	25
15B4	BD
15B5	B6
15B6	BC
15B7	56
15B8	F9
15B9	BC
15BA	24
15BB	61
15BC	14
15BD	22
15BE	0C
15BF	60
15C0	85
15C1	FF
15C2	03
15C3	A3
15C4	46
15C5	94
15C6	7E
15C7	7B
15C8	55
15C9	08
15CA	82
15CB	A4
15CC	3C
15CD	2A
15CE	C8
15CF	D1
15D0	97
15D1	B0
15D2	BA
15D3	F3
15D4	D7
15D5	E4
15D6	1A
15D7	5C
15D8	37
15D9	09
15DA	F4
15DB	CA
15DC	B1
15DD	E3
15DE	98
15DF	FA
15E0	20
15E1	20
15E2	53
15E3	DF
15E4	3B
15E5	50
15E6	FC
15E7	89
15E8	0E
15E9	FC
15EA	22
15EB	2E
15EC	DD
15ED	89
15EE	67
15EF	CE
15F0	21
15F1	D9
15F2	86
15F3	28
15F4	9B
15F5	F7
15F6	4D
15F7	10
15F8	5E
15F9	18
15FA	2A
15FB	D3
15FC	66
15FD	E4
15FE	E6
15FF	87
1600	92
1601	EB
1602	92
1603	CE
1604	D2
1605	9B
1606	2C
1607	42
1608	8E
1609	67
160A	5D
160B	2F
160C	A9
160D	D3
160E	CC
160F	92
1610	EB
1611	CF
1612	9B
1613	86
1614	15
1615	04
1616	3C
1617	E3
1618	52
1619	05
161A	94
161B	1F
161C	B4
161D	61
161E	A7
161F	A1
1620	44
1621	BD
1622	5F
1623	C8
1624	CD
1625	F7
1626	39
1627	2A
1628	09
1629	26
162A	AB
162B	F3
162C	23
162D	62
162E	20
162F	A1
1630	C4
1631	C9
1632	CE
1633	F5
1634	BC
1635	2E
1636	4E
1637	5C
1638	64
1639	E1
163A	04
163B	E6
163C	AA
163D	02
163E	96
163F	97
1640	BA
1641	BE
1642	DD
1643	2E
1644	86
1645	FE
1646	12
1647	21
1648	59
1649	AD
164A	50
164B	70
164C	26
164D	4D
164E	08
164F	0E
1650	5F
1651	25
1652	2D
1653	CF
1654	70
1655	61
1656	FE
1657	FA
1658	99
1659	90
165A	79
165B	11
165C	98
165D	39
165E	CC
165F	9D
1660	D5
1661	93
1662	54
1663	21
1664	15
1665	4D
1666	B0
1667	55
1668	29
1669	E8
166A	28
166B	E9
166C	2C
166D	B6
166E	8D
166F	25
1670	DE
1671	73
1672	7F
1673	94
1674	2C
1675	84
1676	F6
1677	C7
1678	90
1679	F3
167A	97
167B	BB
167C	F3
167D	17
167E	75
167F	A8
1680	15
1681	A0
1682	34
1683	E0
1684	B6
1685	54
1686	99
1687	F3
1688	DD
1689	58
168A	83
168B	FE
168C	84
168D	C0
168E	4B
168F	84
1690	90
1691	31
1692	89
1693	55
1694	C3
1695	70
1696	44
1697	74
1698	4E
1699	33
169A	92
169B	6D
169C	40
169D	F3
169E	8D
169F	14
16A0	45
16A1	EF
16A2	60
16A3	49
16A4	14
16A5	A8
16A6	DC
16A7	55
16A8	E8
16A9	AE
16AA	7C
16AB	C2
16AC	42
16AD	AF
16AE	D8
16AF	53
16B0	04
16B1	CF
16B2	7C
16B3	74
16B4	EC
16B5	7E
16B6	01
16B7	0C
16B8	58
16B9	71
16BA	7C
16BB	26
16BC	D9
16BD	DA
16BE	B1
16BF	0C
16C0	E9
16C1	0A
16C2	6A
16C3	D1
16C4	95
16C5	72
16C6	20
16C7	2B
16C8	DA
16C9	3D
16CA	BD
16CB	BB
16CC	9E
16CD	11
16CE	6F
16CF	D3
16D0	9F
16D1	26
16D2	DC
16D3	8A
16D4	6F
16D5	FC
16D6	F9
16D7	12
16D8	5C
16D9	00
16DA	2B
16DB	95
16DC	D3
16DD	D7
16DE	BC
16DF	5A
16E0	AB
16E1	EC
16E2	40
16E3	AC
16E4	24
16E5	DF
16E6	0E
16E7	91
16E8	C2
16E9	7A
16EA	83
16EB	90
16EC	76
16ED	C5
16EE	E7
16EF	97
16F0	7B
16F1	F7
16F2	9A
16F3	53
16F4	87
16F5	F9
16F6	B1
16F7	62
16F8	49
16F9	0E
16FA	C7
16FB	1C
16FC	66
16FD	F5
16FE	68
16FF	A7
1700	EF
1701	14
1702	60
1703	29
1704	C6
1705	2F
1706	6F
1707	9D
1708	47
1709	7C
170A	AC
170B	9A
170C	0F
170D	09
170E	84
170F	CE
1710	BF
1711	D5
1712	06
1713	13
1714	1A
1715	07
1716	09
1717	3A
1718	8B
1719	A7
171A	EC
171B	ED
171C	36
171D	00
171E	84
171F	27
1720	6B
1721	55
1722	EA
1723	2C
1724	6E
1725	CB
1726	A4
1727	3E
1728	B5
1729	B6
172A	54
172B	E0
172C	92
172D	BF
172E	4D
172F	50
1730	84
1731	88
1732	4D
1733	B7
1734	62
1735	E1
1736	34
1737	1B
1738	EF
1739	35
173A	78
173B	80
173C	0D
173D	A6
173E	5F
173F	3F
1740	95
1741	A6
1742	A8
1743	8E
1744	6B
1745	3E
1746	DC
1747	FF
1748	39
1749	53
174A	F6
174B	19
174C	33
174D	4A
174E	B5
174F	D9
1750	30
1751	EE
1752	E9
1753	CE
1754	ED
1755	64
1756	29
1757	7C
1758	F0
1759	47
175A	05
175B	CD
175C	8C
175D	85
175E	92
175F	D3
1760	36
1761	C1
1762	44
1763	C5
1764	76
1765	56
1766	BC
1767	3B
1768	B1
1769	BC
176A	3A
176B	26
176C	45
176D	1E
176E	88
176F	5A
1770	7F
1771	6F
1772	41
1773	96
1774	30
1775	38
1776	7C
1777	71
1778	DF
1779	95
177A	54
177B	0A
177C	5E
177D	1C
177E	19
177F	55
1780	54
1781	46
1782	50
1783	C8
1784	FA
1785	4D
1786	CE
1787	54
1788	D2
1789	0C
178A	9D
178B	E2
178C	20
178D	AE
178E	54
178F	C8
1790	B3
1791	AA
1792	63
1793	B4
1794	E9
1795	C0
1796	35
1797	3B
1798	E7
1799	B3
179A	E6
179B	86
179C	17
179D	3E
179E	3F
179F	17
17A0	5E
17A1	3F
17A2	EA
17A3	ED
17A4	84
17A5	1A
17A6	00
17A7	9F
17A8	D8
17A9	0D
17AA	49
17AB	AB
17AC	94
17AD	1D
17AE	DE
17AF	0C
17B0	BB
17B1	A7
17B2	8F
17B3	1C
17B4	66
17B5	13
17B6	03
17B7	E2
17B8	1E
17B9	BC
17BA	70
17BB	99
17BC	D6
17BD	AD
17BE	2E
17BF	FF
17C0	C0
17C1	BB
17C2	0D
17C3	D6
17C4	13
17C5	26
17C6	44
17C7	B4
17C8	6E
17C9	CE
17CA	7F
17CB	CC
17CC	E6
17CD	EA
17CE	7E
17CF	31
17D0	80
17D1	A0
17D2	60
17D3	6B
17D4	16
17D5	4E
17D6	B8
17D7	18
17D8	0A
17D9	55
17DA	49
17DB	43
17DC	CB
17DD	1A
17DE	9F
17DF	1E
17E0	F6
17E1	2A
17E2	1C
17E3	CC
17E4	3C
17E5	5F
17E6	86
17E7	B6
17E8	9E
17E9	C9
17EA	D8
17EB	C0
17EC	85
17ED	F0
17EE	B3
17EF	C0
17F0	75
17F1	2C
17F2	6A
17F3	0E
17F4	AD
17F5	DD
17F6	F7
17F7	E7
17F8	2B
17F9	A1
17FA	E2
17FB	37
17FC	4A
17FD	55
17FE	9D
17FF	0C
1800	F2
1801	12
1802	75
1803	8D
1804	37
1805	F7
1806	0B
1807	0C
1808	7A
1809	F8
180A	90
180B	7E
180C	C3
180D	70
180E	F2
180F	D1
1810	98
1811	E4
1812	DC
1813	3F
1814	90
1815	D8
1816	11
1817	13
1818	06
1819	01
181A	F1
181B	72
181C	09
181D	ED
181E	5B
181F	0C
1820	6D
1821	7D
1822	78
1823	C2
1824	E9
1825	20
1826	C6
1827	A0
1828	08
1829	DC
182A	F1
182B	24
182C	EE
182D	1A
182E	33
182F	FA
1830	D1
1831	D2
1832	D5
1833	95
1834	A4
1835	99
1836	7C
1837	9A
1838	BB
1839	CF
183A	93
183B	27
183C	54
183D	3C
183E	5F
183F	EA
1840	11
1841	06
1842	19
1843	97
1844	49
1845	07
1846	B5
1847	1A
1848	1C
1849	51
184A	3B
184B	C2
184C	88
184D	3B
184E	16
184F	6B
1850	11
1851	55
1852	28
1853	EC
1854	60
1855	E6
1856	22
1857	39
1858	56
1859	66
185A	54
185B	DD
185C	B1
185D	45
185E	54
185F	3C
1860	9F
1861	3D
1862	F2
1863	F8
1864	40
1865	20
1866	50
1867	FC
1868	5F
1869	54
186A	B7
186B	C6
186C	40
186D	A1
186E	2F
186F	22
1870	6A
1871	A1
1872	35
1873	67
1874	FC
1875	C7
1876	49
1877	A9
1878	57
1879	B4
187A	12
187B	C5
187C	75
187D	98
187E	B2
187F	A8
1880	5E
1881	1E
1882	1C
1883	F4
1884	C0
1885	43
1886	94
1887	F8
1888	BF
1889	35
188A	6B
188B	94
188C	A7
188D	79
188E	97
188F	F0
1890	F8
1891	13
1892	FC
1893	F4
1894	3B
1895	09
1896	9A
1897	6A
1898	83
1899	F1
189A	1F
189B	04
189C	20
189D	BB
189E	47
189F	62
18A0	B1
18A1	25
18A2	EA
18A3	C8
18A4	51
18A5	12
18A6	F2
18A7	A3
18A8	BA
18A9	17
18AA	AF
18AB	5D
18AC	43
18AD	68
18AE	89
18AF	61
18B0	F2
18B1	26
18B2	35
18B3	42
18B4	53
18B5	80
18B6	67
18B7	9C
18B8	7E
18B9	30
18BA	55
18BB	F9
18BC	7E
18BD	96
18BE	5C
18BF	DB
18C0	3E
18C1	79
18C2	B3
18C3	D9
18C4	D4
18C5	37
18C6	7D
18C7	42
18C8	9A
18C9	B9
18CA	C7
18CB	1C
18CC	0C
18CD	B9
18CE	58
18CF	AC
18D0	D2
18D1	FE
18D2	F0
18D3	80
18D4	D1
18D5	F3
18D6	9B
18D7	8A
18D8	B3
18D9	B6
18DA	CC
18DB	B9
18DC	40
18DD	0A
18DE	8F
18DF	1A
18E0	A2
18E1	4B
18E2	AA
18E3	E2
18E4	3D
18E5	FA
18E6	05
18E7	71
18E8	A4
18E9	6C
18EA	F6
18EB	34
18EC	0C
18ED	8D
18EE	F2
18EF	F5
18F0	AE
18F1	8A
18F2	42
18F3	80
18F4	19
18F5	50
18F6	7D
18F7	DB
18F8	2C
18F9	62
18FA	F6
18FB	7D
18FC	7C
18FD	B4
18FE	51
18FF	C4
1900	CD
1901	61
1902	71
1903	89
1904	3C
1905	BB
1906	AB
1907	C6
1908	5B
1909	3E
190A	B6
190B	A3
190C	18
190D	39
190E	68
190F	04
1910	3A
1911	7A
1912	DC
1913	3F
1914	10
1915	77
1916	F4
1917	DA
1918	7B
1919	16
191A	39
191B	DF
191C	B6
191D	DD
191E	2D
191F	C6
1920	CA
1921	5F
1922	BF
1923	3B
1924	64
1925	25
1926	81
1927	7B
1928	FC
1929	E7
192A	81
192B	AC
192C	F6
192D	5A
192E	1E
192F	8D
1930	A9
1931	D1
1932	6D
1933	38
1934	B4
1935	BA
1936	88
1937	A9
1938	95
1939	77
193A	40
193B	14
193C	B0
193D	BB
193E	3E
193F	C2
1940	B5
1941	52
1942	80
1943	2C
1944	93
1945	98
1946	EB
1947	BC
1948	3A
1949	5A
194A	11
194B	BC
194C	D5
194D	D5
194E	81
194F	FF
1950	5F
1951	03
1952	7B
1953	4B
1954	4C
1955	09
1956	80
1957	CC
1958	59
1959	9F
195A	7B
195B	BF
195C	F2
195D	4C
195E	82
195F	14
1960	0C
1961	AA
1962	18
1963	8B
1964	E4
1965	53
1966	4A
1967	4F
1968	11
1969	B3
196A	54
196B	33
196C	1F
196D	7B
196E	9E
196F	B0
1970	58
1971	C2
1972	02
1973	37
1974	1C
1975	A8
1976	5B
1977	4F
1978	C4
1979	50
197A	27
197B	04
197C	11
197D	17
197E	52
197F	00
1980	98
1981	83
1982	37
1983	83
1984	D6
1985	72
1986	A9
1987	39
1988	2C
1989	FD
198A	FF
198B	56
198C	C8
198D	7C
198E	64
198F	E0
1990	92
1991	8B
1992	6E
1993	DA
1994	AB
1995	15
1996	AF
1997	AB
1998	65
1999	0B
199A	8B
199B	F1
199C	1C
199D	50
199E	44
199F	40
19A0	C9
19A1	92
19A2	34
19A3	8C
19A4	9E
19A5	D0
19A6	80
19A7	65
19A8	FA
19A9	CF
19AA	60
19AB	77
19AC	C6
19AD	8F
19AE	8B
19AF	F9
19B0	56
19B1	54
19B2	86
19B3	3A
19B4	C8
19B5	02
19B6	FA
19B7	86
19B8	C7
19B9	35
19BA	B7
19BB	3F
19BC	10
19BD	1B
19BE	B1
19BF	18
19C0	D6
19C1	B4
19C2	37
19C3	26
19C4	41
19C5	E7
19C6	89
19C7	2E
19C8	EF
19C9	C3
19CA	63
19CB	1D
19CC	1A
19CD	9C
19CE	A5
19CF	A4
19D0	33
19D1	95
19D2	3B
19D3	72
19D4	19
19D5	03
19D6	28
19D7	6D
19D8	5E
19D9	86
19DA	F1
19DB	DE
19DC	85
19DD	2F
19DE	13
19DF	DF
19E0	5B
19E1	15
19E2	4E
19E3	50
19E4	69
19E5	58
19E6	B7
19E7	D8
19E8	99
19E9	F9
19EA	42
19EB	DB
19EC	A0
19ED	51
19EE	F4
19EF	FC
19F0	6B
19F1	15
19F2	FB
19F3	ED
19F4	8E
19F5	BA
19F6	62
19F7	AF
19F8	A6
19F9	CA
19FA	B8
19FB	8B
19FC	2D
19FD	3E
19FE	C7
19FF	5D
1A00	2A
1A01	58
1A02	66
1A03	B8
1A04	77
1A05	0D
1A06	2F
1A07	48
1A08	5F
1A09	10
1A0A	AA
1A0B	91
1A0C	04
1A0D	F6
1A0E	37
1A0F	C2
1A10	A5
1A11	FE
1A12	01
1A13	76
1A14	F3
1A15	BB
1A16	54
1A17	E9
1A18	87
1A19	18
1A1A	F3
1A1B	BC
1A1C	25
1A1D	93
1A1E	E4
1A1F	11
